Topic: test-topic-0000000-1000-5FPR4wg  TopicId: GqXYichCSZOEPoLD--xQrA PartitionCount: 1000    ReplicationFactor: 3    Configs: min.insync.replicas=2,retention.ms=86400000,message.format.version=3.0-IV1,unclean.leader.election.enable=true
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 436  Leader: 12      Replicas: 12,10,11      Isr: 12,10,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 437  Leader: 3       Replicas: 3,15,8        Isr: 3,15,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 438  Leader: 6       Replicas: 6,9,7 Isr: 6,9,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 439  Leader: 14      Replicas: 14,13,4       Isr: 14,13,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 440  Leader: 5       Replicas: 5,1,2 Isr: 5,1,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 441  Leader: 11      Replicas: 11,12,10      Isr: 11,12,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 442  Leader: 8       Replicas: 8,3,15        Isr: 8,3,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 443  Leader: 7       Replicas: 7,6,9 Isr: 7,6,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 444  Leader: 4       Replicas: 4,14,13       Isr: 4,14,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 445  Leader: 2       Replicas: 2,5,1 Isr: 2,5,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 446  Leader: 10      Replicas: 10,11,12      Isr: 10,11,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 447  Leader: 15      Replicas: 15,8,3        Isr: 15,8,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 448  Leader: 9       Replicas: 9,7,6 Isr: 9,7,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 449  Leader: 13      Replicas: 13,4,14       Isr: 13,4,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 450  Leader: 9       Replicas: 9,5,4 Isr: 9,5,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 451  Leader: 3       Replicas: 3,11,8        Isr: 3,11,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 452  Leader: 15      Replicas: 15,14,10      Isr: 15,14,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 453  Leader: 12      Replicas: 12,7,1        Isr: 12,7,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 454  Leader: 13      Replicas: 13,6,2        Isr: 13,6,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 455  Leader: 4       Replicas: 4,9,5 Isr: 4,9,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 456  Leader: 8       Replicas: 8,3,11        Isr: 8,3,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 457  Leader: 10      Replicas: 10,15,14      Isr: 10,15,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 458  Leader: 1       Replicas: 1,12,7        Isr: 1,12,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 459  Leader: 2       Replicas: 2,13,6        Isr: 2,13,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 460  Leader: 5       Replicas: 5,4,9 Isr: 5,4,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 461  Leader: 11      Replicas: 11,8,3        Isr: 11,8,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 462  Leader: 14      Replicas: 14,10,15      Isr: 14,10,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 463  Leader: 7       Replicas: 7,1,12        Isr: 7,1,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 464  Leader: 6       Replicas: 6,2,13        Isr: 6,2,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 465  Leader: 10      Replicas: 10,4,14       Isr: 10,4,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 466  Leader: 1       Replicas: 1,2,7 Isr: 1,2,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 467  Leader: 12      Replicas: 12,3,11       Isr: 12,3,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 468  Leader: 5       Replicas: 5,15,9        Isr: 5,15,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 469  Leader: 6       Replicas: 6,8,13        Isr: 6,8,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 470  Leader: 14      Replicas: 14,10,4       Isr: 14,10,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 471  Leader: 7       Replicas: 7,1,2 Isr: 7,1,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 472  Leader: 11      Replicas: 11,12,3       Isr: 11,12,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 473  Leader: 9       Replicas: 9,5,15        Isr: 9,5,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 474  Leader: 13      Replicas: 13,6,8        Isr: 13,6,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 475  Leader: 4       Replicas: 4,14,10       Isr: 4,14,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 476  Leader: 2       Replicas: 2,7,1 Isr: 2,7,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 477  Leader: 3       Replicas: 3,11,12       Isr: 3,11,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 478  Leader: 15      Replicas: 15,9,5        Isr: 15,9,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 479  Leader: 8       Replicas: 8,13,6        Isr: 8,13,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 480  Leader: 8       Replicas: 8,3,1 Isr: 8,3,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 481  Leader: 5       Replicas: 5,11,12       Isr: 5,11,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 482  Leader: 15      Replicas: 15,14,7       Isr: 15,14,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 483  Leader: 2       Replicas: 2,10,4        Isr: 2,10,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 484  Leader: 13      Replicas: 13,6,9        Isr: 13,6,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 485  Leader: 1       Replicas: 1,8,3 Isr: 1,8,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 486  Leader: 12      Replicas: 12,5,11       Isr: 12,5,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 487  Leader: 7       Replicas: 7,15,14       Isr: 7,15,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 488  Leader: 4       Replicas: 4,2,10        Isr: 4,2,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 489  Leader: 9       Replicas: 9,13,6        Isr: 9,13,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 490  Leader: 3       Replicas: 3,1,8 Isr: 3,1,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 491  Leader: 11      Replicas: 11,12,5       Isr: 11,12,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 492  Leader: 14      Replicas: 14,7,15       Isr: 14,7,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 493  Leader: 10      Replicas: 10,4,2        Isr: 10,4,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 494  Leader: 6       Replicas: 6,9,13        Isr: 6,9,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 495  Leader: 4       Replicas: 4,10,9        Isr: 4,10,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 496  Leader: 5       Replicas: 5,14,1        Isr: 5,14,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 497  Leader: 8       Replicas: 8,15,7        Isr: 8,15,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 498  Leader: 6       Replicas: 6,3,12        Isr: 6,3,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 499  Leader: 13      Replicas: 13,2,11       Isr: 13,2,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 500  Leader: 9       Replicas: 9,4,10        Isr: 9,4,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 501  Leader: 1       Replicas: 1,5,14        Isr: 1,5,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 502  Leader: 7       Replicas: 7,8,15        Isr: 7,8,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 503  Leader: 12      Replicas: 12,6,3        Isr: 12,6,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 504  Leader: 11      Replicas: 11,13,2       Isr: 11,13,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 505  Leader: 10      Replicas: 10,9,4        Isr: 10,9,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 506  Leader: 14      Replicas: 14,1,5        Isr: 14,1,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 507  Leader: 15      Replicas: 15,7,8        Isr: 15,7,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 508  Leader: 3       Replicas: 3,12,6        Isr: 3,12,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 509  Leader: 2       Replicas: 2,11,13       Isr: 2,11,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 510  Leader: 9       Replicas: 9,11,3        Isr: 9,11,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 511  Leader: 4       Replicas: 4,7,14        Isr: 4,7,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 512  Leader: 10      Replicas: 10,2,6        Isr: 10,2,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 513  Leader: 8       Replicas: 8,15,5        Isr: 8,15,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 514  Leader: 1       Replicas: 1,13,12       Isr: 1,13,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 515  Leader: 3       Replicas: 3,9,11        Isr: 3,9,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 516  Leader: 14      Replicas: 14,4,7        Isr: 14,4,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 517  Leader: 6       Replicas: 6,10,2        Isr: 6,10,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 518  Leader: 5       Replicas: 5,8,15        Isr: 5,8,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 519  Leader: 12      Replicas: 12,1,13       Isr: 12,1,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 520  Leader: 11      Replicas: 11,3,9        Isr: 11,3,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 521  Leader: 7       Replicas: 7,14,4        Isr: 7,14,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 522  Leader: 2       Replicas: 2,6,10        Isr: 2,6,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 523  Leader: 15      Replicas: 15,5,8        Isr: 15,5,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 524  Leader: 13      Replicas: 13,12,1       Isr: 13,12,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 525  Leader: 15      Replicas: 15,12,3       Isr: 15,12,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 526  Leader: 14      Replicas: 14,5,11       Isr: 14,5,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 527  Leader: 13      Replicas: 13,4,9        Isr: 13,4,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 528  Leader: 6       Replicas: 6,8,10        Isr: 6,8,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 529  Leader: 2       Replicas: 2,7,1 Isr: 2,7,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 530  Leader: 3       Replicas: 3,15,12       Isr: 3,15,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 531  Leader: 11      Replicas: 11,14,5       Isr: 11,14,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 532  Leader: 9       Replicas: 9,13,4        Isr: 9,13,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 533  Leader: 10      Replicas: 10,6,8        Isr: 10,6,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 534  Leader: 1       Replicas: 1,2,7 Isr: 1,2,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 535  Leader: 12      Replicas: 12,3,15       Isr: 12,3,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 536  Leader: 5       Replicas: 5,11,14       Isr: 5,11,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 537  Leader: 4       Replicas: 4,9,13        Isr: 4,9,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 538  Leader: 8       Replicas: 8,10,6        Isr: 8,10,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 539  Leader: 7       Replicas: 7,1,2 Isr: 7,1,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 540  Leader: 14      Replicas: 14,15,5       Isr: 14,15,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 541  Leader: 4       Replicas: 4,7,8 Isr: 4,7,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 542  Leader: 13      Replicas: 13,2,1        Isr: 13,2,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 543  Leader: 12      Replicas: 12,6,10       Isr: 12,6,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 544  Leader: 11      Replicas: 11,3,9        Isr: 11,3,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 545  Leader: 5       Replicas: 5,14,15       Isr: 5,14,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 546  Leader: 8       Replicas: 8,4,7 Isr: 8,4,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 547  Leader: 1       Replicas: 1,13,2        Isr: 1,13,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 548  Leader: 10      Replicas: 10,12,6       Isr: 10,12,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 549  Leader: 9       Replicas: 9,11,3        Isr: 9,11,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 550  Leader: 15      Replicas: 15,5,14       Isr: 15,5,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 551  Leader: 7       Replicas: 7,8,4 Isr: 7,8,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 552  Leader: 2       Replicas: 2,1,13        Isr: 2,1,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 553  Leader: 6       Replicas: 6,10,12       Isr: 6,10,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 554  Leader: 3       Replicas: 3,9,11        Isr: 3,9,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 555  Leader: 14      Replicas: 14,1,10       Isr: 14,1,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 556  Leader: 6       Replicas: 6,5,8 Isr: 6,5,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 557  Leader: 3       Replicas: 3,12,11       Isr: 3,12,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 558  Leader: 9       Replicas: 9,4,13        Isr: 9,4,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 559  Leader: 15      Replicas: 15,7,2        Isr: 15,7,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 560  Leader: 10      Replicas: 10,14,1       Isr: 10,14,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 561  Leader: 8       Replicas: 8,6,5 Isr: 8,6,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 562  Leader: 11      Replicas: 11,3,12       Isr: 11,3,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 563  Leader: 13      Replicas: 13,9,4        Isr: 13,9,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 564  Leader: 2       Replicas: 2,15,7        Isr: 2,15,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 565  Leader: 1       Replicas: 1,10,14       Isr: 1,10,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 566  Leader: 5       Replicas: 5,8,6 Isr: 5,8,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 567  Leader: 12      Replicas: 12,11,3       Isr: 12,11,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 568  Leader: 4       Replicas: 4,13,9        Isr: 4,13,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 569  Leader: 7       Replicas: 7,2,15        Isr: 7,2,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 570  Leader: 6       Replicas: 6,14,13       Isr: 6,14,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 571  Leader: 9       Replicas: 9,5,4 Isr: 9,5,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 572  Leader: 10      Replicas: 10,11,2       Isr: 10,11,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 573  Leader: 15      Replicas: 15,12,7       Isr: 15,12,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 574  Leader: 8       Replicas: 8,3,1 Isr: 8,3,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 575  Leader: 13      Replicas: 13,6,14       Isr: 13,6,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 576  Leader: 4       Replicas: 4,9,5 Isr: 4,9,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 577  Leader: 2       Replicas: 2,10,11       Isr: 2,10,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 578  Leader: 7       Replicas: 7,15,12       Isr: 7,15,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 579  Leader: 1       Replicas: 1,8,3 Isr: 1,8,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 580  Leader: 14      Replicas: 14,13,6       Isr: 14,13,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 581  Leader: 5       Replicas: 5,4,9 Isr: 5,4,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 582  Leader: 11      Replicas: 11,2,10       Isr: 11,2,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 583  Leader: 12      Replicas: 12,7,15       Isr: 12,7,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 584  Leader: 3       Replicas: 3,1,8 Isr: 3,1,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 585  Leader: 11      Replicas: 11,8,7        Isr: 11,8,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 586  Leader: 2       Replicas: 2,13,6        Isr: 2,13,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 587  Leader: 10      Replicas: 10,4,12       Isr: 10,4,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 588  Leader: 15      Replicas: 15,14,5       Isr: 15,14,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 589  Leader: 9       Replicas: 9,3,1 Isr: 9,3,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 590  Leader: 7       Replicas: 7,11,8        Isr: 7,11,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 591  Leader: 6       Replicas: 6,2,13        Isr: 6,2,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 592  Leader: 12      Replicas: 12,10,4       Isr: 12,10,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 593  Leader: 5       Replicas: 5,15,14       Isr: 5,15,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 594  Leader: 1       Replicas: 1,9,3 Isr: 1,9,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 595  Leader: 8       Replicas: 8,7,11        Isr: 8,7,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 596  Leader: 13      Replicas: 13,6,2        Isr: 13,6,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 597  Leader: 4       Replicas: 4,12,10       Isr: 4,12,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 598  Leader: 14      Replicas: 14,5,15       Isr: 14,5,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 599  Leader: 3       Replicas: 3,1,9 Isr: 3,1,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 600  Leader: 3       Replicas: 3,6,14        Isr: 3,6,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 601  Leader: 15      Replicas: 15,9,13       Isr: 15,9,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 602  Leader: 2       Replicas: 2,5,4 Isr: 2,5,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 603  Leader: 10      Replicas: 10,11,12      Isr: 10,11,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 604  Leader: 1       Replicas: 1,8,7 Isr: 1,8,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 605  Leader: 14      Replicas: 14,3,6        Isr: 14,3,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 606  Leader: 13      Replicas: 13,15,9       Isr: 13,15,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 607  Leader: 4       Replicas: 4,2,5 Isr: 4,2,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 608  Leader: 12      Replicas: 12,10,11      Isr: 12,10,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 609  Leader: 7       Replicas: 7,1,8 Isr: 7,1,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 610  Leader: 6       Replicas: 6,14,3        Isr: 6,14,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 611  Leader: 9       Replicas: 9,13,15       Isr: 9,13,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 612  Leader: 5       Replicas: 5,4,2 Isr: 5,4,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 613  Leader: 11      Replicas: 11,12,10      Isr: 11,12,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 614  Leader: 8       Replicas: 8,7,1 Isr: 8,7,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 615  Leader: 3       Replicas: 3,8,1 Isr: 3,8,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 616  Leader: 9       Replicas: 9,6,7 Isr: 9,6,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 617  Leader: 11      Replicas: 11,10,14      Isr: 11,10,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 618  Leader: 13      Replicas: 13,12,15      Isr: 13,12,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 619  Leader: 2       Replicas: 2,4,5 Isr: 2,4,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 620  Leader: 1       Replicas: 1,3,8 Isr: 1,3,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 621  Leader: 7       Replicas: 7,9,6 Isr: 7,9,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 622  Leader: 14      Replicas: 14,11,10      Isr: 14,11,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 623  Leader: 15      Replicas: 15,13,12      Isr: 15,13,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 624  Leader: 5       Replicas: 5,2,4 Isr: 5,2,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 625  Leader: 8       Replicas: 8,1,3 Isr: 8,1,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 626  Leader: 6       Replicas: 6,7,9 Isr: 6,7,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 627  Leader: 10      Replicas: 10,14,11      Isr: 10,14,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 628  Leader: 12      Replicas: 12,15,13      Isr: 12,15,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 629  Leader: 4       Replicas: 4,5,2 Isr: 4,5,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 630  Leader: 11      Replicas: 11,13,2       Isr: 11,13,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 631  Leader: 10      Replicas: 10,9,6        Isr: 10,9,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 632  Leader: 8       Replicas: 8,4,5 Isr: 8,4,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 633  Leader: 1       Replicas: 1,7,12        Isr: 1,7,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 634  Leader: 3       Replicas: 3,14,15       Isr: 3,14,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 635  Leader: 2       Replicas: 2,11,13       Isr: 2,11,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 636  Leader: 6       Replicas: 6,10,9        Isr: 6,10,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 637  Leader: 5       Replicas: 5,8,4 Isr: 5,8,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 638  Leader: 12      Replicas: 12,1,7        Isr: 12,1,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 639  Leader: 15      Replicas: 15,3,14       Isr: 15,3,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 640  Leader: 13      Replicas: 13,2,11       Isr: 13,2,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 641  Leader: 9       Replicas: 9,6,10        Isr: 9,6,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 642  Leader: 4       Replicas: 4,5,8 Isr: 4,5,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 643  Leader: 7       Replicas: 7,12,1        Isr: 7,12,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 644  Leader: 14      Replicas: 14,15,3       Isr: 14,15,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 645  Leader: 14      Replicas: 14,6,13       Isr: 14,6,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 646  Leader: 1       Replicas: 1,7,8 Isr: 1,7,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 647  Leader: 3       Replicas: 3,12,4        Isr: 3,12,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 648  Leader: 2       Replicas: 2,15,10       Isr: 2,15,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 649  Leader: 11      Replicas: 11,5,9        Isr: 11,5,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 650  Leader: 13      Replicas: 13,14,6       Isr: 13,14,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 651  Leader: 8       Replicas: 8,1,7 Isr: 8,1,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 652  Leader: 4       Replicas: 4,3,12        Isr: 4,3,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 653  Leader: 10      Replicas: 10,2,15       Isr: 10,2,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 654  Leader: 9       Replicas: 9,11,5        Isr: 9,11,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 655  Leader: 6       Replicas: 6,13,14       Isr: 6,13,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 656  Leader: 7       Replicas: 7,8,1 Isr: 7,8,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 657  Leader: 12      Replicas: 12,4,3        Isr: 12,4,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 658  Leader: 15      Replicas: 15,10,2       Isr: 15,10,2
