Topic: test-topic-0000000-1000-5FPR4wg  TopicId: GqXYichCSZOEPoLD--xQrA PartitionCount: 1000    ReplicationFactor: 3    Configs: min.insync.replicas=2,retention.ms=86400000,message.format.version=3.0-IV1,unclean.leader.election.enable=true
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 72   Leader: 3       Replicas: 3,9,11        Isr: 3,9,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 73   Leader: 14      Replicas: 14,4,5        Isr: 14,4,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 74   Leader: 1       Replicas: 1,13,2        Isr: 1,13,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 75   Leader: 9       Replicas: 9,4,5 Isr: 9,4,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 76   Leader: 6       Replicas: 6,13,8        Isr: 6,13,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 77   Leader: 10      Replicas: 10,2,1        Isr: 10,2,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 78   Leader: 12      Replicas: 12,15,3       Isr: 12,15,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 79   Leader: 11      Replicas: 11,7,14       Isr: 11,7,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 80   Leader: 5       Replicas: 5,9,4 Isr: 5,9,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 81   Leader: 8       Replicas: 8,6,13        Isr: 8,6,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 82   Leader: 1       Replicas: 1,10,2        Isr: 1,10,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 83   Leader: 3       Replicas: 3,12,15       Isr: 3,12,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 84   Leader: 14      Replicas: 14,11,7       Isr: 14,11,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 85   Leader: 4       Replicas: 4,5,9 Isr: 4,5,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 86   Leader: 13      Replicas: 13,8,6        Isr: 13,8,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 87   Leader: 2       Replicas: 2,1,10        Isr: 2,1,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 88   Leader: 15      Replicas: 15,3,12       Isr: 15,3,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 89   Leader: 7       Replicas: 7,14,11       Isr: 7,14,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 90   Leader: 12      Replicas: 12,13,4       Isr: 12,13,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 91   Leader: 7       Replicas: 7,1,14        Isr: 7,1,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 92   Leader: 11      Replicas: 11,2,5        Isr: 11,2,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 93   Leader: 8       Replicas: 8,10,15       Isr: 8,10,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 94   Leader: 3       Replicas: 3,6,9 Isr: 3,6,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 95   Leader: 4       Replicas: 4,12,13       Isr: 4,12,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 96   Leader: 14      Replicas: 14,7,1        Isr: 14,7,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 97   Leader: 5       Replicas: 5,11,2        Isr: 5,11,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 98   Leader: 15      Replicas: 15,8,10       Isr: 15,8,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 99   Leader: 9       Replicas: 9,3,6 Isr: 9,3,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 100  Leader: 13      Replicas: 13,4,12       Isr: 13,4,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 101  Leader: 1       Replicas: 1,14,7        Isr: 1,14,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 102  Leader: 2       Replicas: 2,5,11        Isr: 2,5,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 103  Leader: 10      Replicas: 10,15,8       Isr: 10,15,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 104  Leader: 6       Replicas: 6,9,3 Isr: 6,9,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 105  Leader: 11      Replicas: 11,2,3        Isr: 11,2,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 106  Leader: 12      Replicas: 12,13,6       Isr: 12,13,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 107  Leader: 5       Replicas: 5,4,8 Isr: 5,4,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 108  Leader: 1       Replicas: 1,14,10       Isr: 1,14,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 109  Leader: 9       Replicas: 9,7,15        Isr: 9,7,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 110  Leader: 3       Replicas: 3,11,2        Isr: 3,11,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 111  Leader: 6       Replicas: 6,12,13       Isr: 6,12,13
